timestamp,x,y,z,qx,qy,qz,qw
1762732402930759168.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732402980867584.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403030861056.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403080858880.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403130900992.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403181049344.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403231045120.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403281041152.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403331004160.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403380997888.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403431209472.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403481458176.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403531031040.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
1762732403581124608.000000,-5.753775789152371e-09,1.7337129535818785e-09,1.430000136180317,-0.7066258311299979,-0.000199022679920218,-0.00019944459543642126,0.7075873482416611
